25	6	2
22.3587	7.68475	23.0542	.	1	1
10272.2	4299.51	12898.5	.	1	1
13750.2	5927.15	17781.5	.	1	1
4.23453e-08	1.55e-08	4.65e-08	.	1	1
4623.33	1603.77	4811.3	.	1	1
9606.75	6216.5	18649.5	.	1	1
2.41607e-06	1.36e-06	4.08e-06	.	1	1
7.18763e-07	4.34807e-07	1.30442e-06	.	1	1
0.000222124	0.000111062	0.000333186	.	0	0
1.32199e-06	7.0241e-07	2.10723e-06	.	1	1
7.7968e-05	4.79e-05	0.0001437	.	1	1
3.82116e-07	1.335e-07	4.005e-07	.	1	1
0.243529	0.137962	0.413886	.	1	1
0.537217	0.219842	0.659528	.	1	1
0.0304109	0.0105109	0.0315327	.	1	1
1.09063e+07	3.71284e+06	1.11385e+07	.	1	1
5133.66	2863.32	8589.94	.	1	1
5.54654e-05	5.38795e-05	0.000161639	.	1	1
39514.7	19757.3	59272.1	.	0	0
3.35713	1.74493	5.23479	.	1	1
0	0	0	.	0	0
0	0	0	.	0	0
0	0	0	.	0	0
73737.5	26476.2	79428.4	.	1	1
0.108552	0.106051	0.318151	.	1	1
.	.	.	.	0	0
.	.	.	.	0	0
.	.	.	.	0	0
.	.	.	.	0	0
.	.	.	.	0	0
.	.	.	.	0	0
