29	8	3
6.15908	5.35735	16.0721	.	1	0	1
3423.29	1814.47	5443.43	.	1	0	1
11180.4	8121.6	24364.8	.	1	0	1
8.96758e-8	3.04e-8	9.12e-8	.	1	0	1
1735.94	1033.7	3101.1	.	1	0	1
18304.6	6748.85	20246.5	.	1	0	1
1.23521e-6	4.385e-7	1.3155e-6	.	1	0	1
7.67327e-5	4.515e-5	0.00013545	.	1	0	1
0.000142571	0.000105987	0.000317959	.	1	0	1
1.01614e-6	5.7e-7	1.71e-6	.	1	0	1
0.000702883	0.000621425	0.00186428	.	1	0	1
1.79215e-5	6.2e-6	1.86e-5	.	1	0	1
2.27229	0.76685	2.30055	.	1	0	1
1.47093	0.78341	2.35023	.	1	0	1
0.00279583	0.00093258	0.00279774	.	1	0	1
170755	127962	383886	.	1	0	1
23632.1	12007.6	36022.9	.	1	0	1
9.42186e-6	3.37e-6	1.011e-5	.	1	0	1
39514.7	19757.3	59272.1	.	0	0	0
3299.72	1133.79	3401.36	.	1	0	1
0	0	0	.	0	0	0
0	0	0	.	0	0	0
0	0	0	.	0	0	0
19445.7	9645.65	28937	.	1	0	1
0.050238	0.0168962	0.0506886	.	1	0	1
0.994122	0.001	10	.	1	1	1
7.49574e-5	1e-6	0.1	.	1	1	1
3.34886	0.001	10	.	1	1	1
9.66812	0.0001	10	.	1	1	1
.	.	.	.	0	0	0
.	.	.	.	0	0	0
.	.	.	.	0	0	0
.	.	.	.	0	0	0
.	.	.	.	0	0	0
.	.	.	.	0	0	0
.	.	.	.	0	0	0
.	.	.	.	0	0	0
